review_id,verified_purchase,full_text,rating
R0017,True,"Burt's Bees Tip N Toes Hands & Feet Kit. I recently purchased a product to assist with a pedicure. These products seemed to go with it. I found the various products help to keep s feet feeling better, more moisturized. I think it is rather expensive to buy in this kit so next time I will look for th4 individual bottle. My feet did feel.much better after using Burt's Bees products..",4.0
R0018,True,nice set. This is a great price for this kit and wonderful stocking stuffer. I got 4 of them and everyone loved it!,4.0
R0019,False,Burt's Bees products are great. I gave it as a gift.,5.0
R0020,True,Good way to sample their different products!. The only product I was not thrilled about in the set was the Almond Hand cream in the small glass jar was because it had a strange smell I was not fond of but the cream was very moisturizing.,5.0
R0021,True,Five Stars. Great gift,5.0
R0022,True,Great gift. Bought as gift. She loves it,5.0
R0023,True,Would buy again.. Perfect for what I needed,5.0
R0024,False,"This was a perfect little trial kit. This was a perfect little trial kit. It allowed me to experience, smell and feel all the different products and I love them all. I wish I had snagged a few more when they were on sale.",5.0
R0025,True,Great!. I bought this for my wife and she loves it. The product amount is just enough to get a few applications so you can see if you really like the product or not. It would be prefect for travel.,5.0
R0026,True,Five Stars. This was bought as a gift but it look nice,5.0
R0027,True,love everything that comes with. i ended up buying 2 of these... love everything that comes with this,5.0
R0028,True,Great gift idea. Thanks for offering this product. Purchased for a gift and the people loved it.,5.0
R0029,True,"Burts Bees Tips and Toes. I got this kit for my mother who is having trouble with neuropathy due to chemo. Especially in the winter now, the skin on her fingers and heels cracks easily. She has a heck of a time finding lotion that will stay on long enough to protect her skin and at the same time is not greasy. She was a big fan of the Burts Bees kit. She said it helps a lot to keep the cracking to a minimum. In particular, the beeswax hand cream worked well.",5.0
R0030,True,Great product!. Love burts bees! Used these as adorable stocking stuffers and everyone loves them.,5.0
R0031,True,Gift. Gave as a gift. It is a small set.,5.0
R0032,True,Five Stars. Gift for a friend and she loved it! I love Burt's Bees products myself; all the products are wonderful!,5.0
R0033,True,care package. this makes a great gift. everything smells and feels great. fits perfect in purses or bags and backpacks. products for different body parts. smell edibly delicious!,5.0
R0034,False,Three Stars. Does the job but are a bit too greasy to do much after using the hand salves and cream,3.0
R0035,True,Good. Wife liked,5.0
R0036,True,Five Stars. Product came promptly and was as described.,5.0
R0037,True,Lovely. Products are great! Really enjoyed this.,4.0
R0038,True,Stocking Stuffers. These were stocking stuffers. They are a good product fora good price.,5.0
R0039,True,Great Gift. I bought this kit for my friend's birthday and she loved it. I may order another one for myself. :),5.0
R0040,True,The lipstick is fine though.. The honey hand cream is too oily for a daily wear. The lipstick is fine though.,2.0
R0041,True,"The package came in excellent shape. None of the items were used. The package came in excellent shape. None of the items were used, missing or damaged. The box was also in excellent shape.",5.0
R0042,True,Five Stars. Perfect! Love all these products.,5.0
R0043,True,Four Stars. Gave it as a gift and the girl friend enjoyed it.,4.0
R0044,True,Great!!. Excellent size for a stocking stuff for and a nice variety of items.,5.0
R0045,True,Bought as a gift. She loves Burt's Bees products .... Bought as a gift. She loves Burt's Bees products!,5.0
R0046,True,Good for Girlfriends. Bought this for my Girlfriend and she loves it. She uses the stuff all the time. I didn't want to get the big kit just in case she didn't like it but it looks like I'll have to buy one now.,5.0
R0047,True,"Works, but OILY. Personally, I prefer the bath and body lotions compared to Burt Bees because Burt Bees' lotions and creams seem to be more oily. Additionally, the foot cream isn't cream but more of a paste like toothpaste but more textured, which is off putting. Furthermore, the lotions generally take a longer time to soak in and in that period of time I'm not able to touch my laptop or phone without getting them dirty. Overall, the price is good for the amount of products you get, the scent isn't half bad, and it does hydrate my skin, but personally it is not worth feeling oily. I don't have super dry skin so these products were not for me.",3.0
R0048,True,Four Stars. Cute gift for $10. The size of set is smaller than I expected..,4.0
R0049,True,Live Burts. Cute gift set,5.0
R0050,True,"Perfect gift. Bought this as a gift for my niece, and she loved it! Thanks",5.0
R0051,True,Five Stars. Great for favors!,5.0
R0052,False,Great Products. I love Burts Bee’s products and this item is no exception! Everything in a cute lil box. They all smell great and are very hydrating,5.0
R0053,True,"Great, not full size. This is a great value for a gift set. When I purchased it I was unaware that these are not full size. Still think I got a good value.",3.0
R0054,True,Five Stars. Awesome,5.0
R0055,True,"Purchased as a gift. I bought this as a ""goodbye & thanks"" gift to our former daycare provider. Love Burts Bees products and so does she! I figured this would be a nice way for her to give her lips, feet, & hands a little bit of love after washing her hands ten billion times a day and working hard to keep the tiny humans alive. No complaints!",5.0
R0056,True,Five Stars. great for a gift; good price and lots of samples to try and decide what you really like.,5.0
R0057,True,No worth it. The only thing good in it is the cuticle cream.,2.0
R0058,True,Cute stocking stuffers. Got as stocking stuffers and they were so good. Great value for the money,5.0
R0059,True,My wife loved it for her birthday. Great price. My wife loved it for her birthday. Great price,5.0
R0060,True,Burts beeswax. Product is perfect. The packaging on the other hand was crushed. It was for a gift so disappointed and embarrassed to give as a gift with a crushed box.,4.0
R0061,True,Perfect for a mothers day gift!. Perfect for a mothers day gift!,5.0
R0062,True,"Not for a gift. I like these products and bought it for a gift, box was a little worn and date on package showed 2017? I guess it could be good for yourself, but wouldn’t buy it as a gift.",3.0
R0063,True,Excellent. Excellent,5.0
R0064,True,always stock for unexpected gift. I always stock to give people as small gift. everybody love this brand and high quality.,5.0
R0065,True,"Good product. Good product, my daughter likes the set.",4.0
R0066,True,Great gift. Bought for gift and daughter loved it.,5.0
R0067,True,"Great gift. I purchasedthis for christmas gifts,they werea great hit with the girls. I have always found Burts Bees products to be sesitive to my skin because of the natural ingredients.",5.0
R0068,False,Love this kit!!. Recently bought this kit before I committed to the larger sizes. I was a bit skeptical of the foot and hand creams. I have used the cuticle cream in the past and love it. Love love love them all. This is a great size for traveling or overnight stay. Also a great buy if you are having house guests and want to treat them special!!! Highly highly recommend!!! There are a few different kits out there. These kits are great because there are always one or two products that I would not have probably tried if it hadn't been for the trial size. Thank you Burt's Bees for offering these sample kits. They are a way to get us hooked on more of your products!!!,5.0
R0069,True,Little bit of everything. The perfect gift for that person that has everything.,5.0
R0070,True,"Burt Bees stuff is the best!!!. I love everything I purchase from Burt Bees, Never been disappointed yet!",5.0
R0071,True,Everyone loved their gift. I loved giving these out for Christmas!,5.0
R0072,True,Nice gift. While this is a sampler pack of Burt's Bees products the sizes are large enough to be worth while. I especially like the foot cream and the lip balm but all are quality products packaged in an attractive box. A great gift idea for those times when you don't know what to get.,5.0
R0073,False,100% recommend. very impressive with such good price,5.0
R0074,True,Four Stars. Great kit would buy it again,4.0
R0075,True,Christmas Present. This item was purchased as a Christmas present.,5.0
R0076,True,Five Stars. Ok,5.0
R0077,True,Gift. Gift,5.0
R0078,True,Perfect gift for mother's day!. Perfect gift for mother's day!,5.0
R0079,True,Five Stars. I got this for my son as he has dry skin and he loves it.,5.0
R0080,True,Awesome gift set!. I bought this as a gift and my boyfriend's mom loved it. I've tried the hand and cuticle creams before and I love every one of their products I've tried so far. I wanted to buy another set for myself but they were sold out at the time.,5.0
R0081,True,"Great gift. I bought it for a gift and they loved it. I don’t know what the product was actually liked, but it seemed to be enjoyed.",5.0
R0082,True,"Very small sizes for sampling. Good if you wish to try their products without buying the large sizes. I had hoped that their hand salve (or something in this collection) would work wonders on a burn I received on my hand (while cooking) which had become calloused. None of these products are working any better than others I have tried (though I realize this isn't what they were made for). The hand cream is very nice and not so greasy; after a few days of healing that has helped. Glad for the sample sizes to test out the products, though.",3.0
R0083,True,"Great Products!!. I love burts bees! I am never disappointed with the quality of these products. The scents are very nice and never overpowering. I give these as gifts at Christmas regularly, and I even put them on my Christmas lists!",5.0
R0084,True,Bridal/Baby Shower Prizes. This kit is one of my go-to's for bridal shower and baby shower game prizes. Can't beat the price and they're always a hit.,5.0
R0085,True,"Five Stars. Nice kit, smaller in size than expected but quality products.",5.0
R0086,True,good. my gf just like it！,5.0
R0087,True,"Burt Bees Gift Set, Finger/Toes. I bought this kit for my DIL..she loves. Burt Bees products..she was very pleased..☺️",5.0
R0088,True,"Its Burt's Bees, you know it is good. :). Creamy hand lotions, wonderful smells... I mean, talk about the perfect gift for you and your friends. I am giving these out to ALL of my girlfriends and I know they will be just as pleased as I am with them. Also, little fun thing here... I wrapped them in lovely hand knitted scarves so it is like two gifts in one and zero unwrapping trash.",5.0
R0089,True,"Makes a great gift. I bought this as a gift, so have not used this product myself. The recipient, however, was very happy with the product. The gift was opened in the presence of others who, when they saw it, wanted it for themselves, so that's the sign of a good product.",5.0
R0090,True,Gift. Perfect travel size for the person who spends time in the outdoors. Plus high quality for a reasonable price.,5.0
R0091,True,Good value. Small but cute. We bought these for our aunts and got no complaints. A good deal for the price.,4.0
R0092,True,Great for gifting or for you. I purchased 2 of these and they were gifts for friends. They both were thrilled to receive Burt's Bees products and they both really like the products.,4.0
R0093,True,"Great office gift!. Got these as Christmas gifts for the girls in my office. Nicely packaged sample packs of a little bit of honey heaven. All the girls loved it! Glad I came across these, I even got an extra for myseslf. Love the almond butter!",5.0
R0094,True,Great for hands and nails. Like it a lot ! Will be using again,4.0
R0095,True,Good product good value!. Nice kit well priced and delivered right on time.,5.0
R0096,False,Four Stars. Great as a gift set!,4.0
R0097,True,"My moms fave. I always buy these for my mom and sisters. It’s a fool proof appreciated practical but luxurious gift. The price is right. Consistent use of good products like these can repair skin. I have to say I gift it because we all love the quality fir the price but we do love the scent. The grape seed honey lotion is a smell that transports. I love it. All the products smell divine but that one is my fave. I have spent the last decade learning a lot about pollinators. Turning my space into a sanctuary for them. The scent of beeswax heating up in a pot or lighting a candle is absolutely aroma therapy at its best. The sun, rain, earth, flowers, and honey may just be the most quintessential compilation of elements for a warm sweet earthy scent that is not cloying. As for the quality of the product it is rejuvenating and great self care. Getting a little collection like this is a mini spa day. And I always get asked why I smell so good! It is a subtle fragrance. If you like that. The other lotion scent I love is Le Occitane lavender. Or Dolce Gabanna The One. If you like those you may enjoy this. If you hate scent or are allergic you may not. The quality is subtle but layered and rich. I enjoy the warm notes. If you like a little fragrance in your lotion that’s not over powering. The scent are all from the earth. Coconut almond honey Grape seed and such.",5.0
R0098,True,"super cute and works well. very nice product and works well, cant beat the price! Gave as gifts to 4 of my friends and they loved it and thought I spent way more than I did. Would for sure buy again!",5.0
R0099,True,Great product. Solid reputation.. I've been a loyal Burt's bees lip chap user for years and bought this for my mother in law and she loved it. Burt's bees continues to make good quality and very reputable products.,5.0
R0100,True,love burts bees. I bought this product for the cuticle salve thats in it. I LOVE that stuff. The other items were convenient because I want to try them. I really liked all of the products in the box. The foot cream and the hand cream in a jar were amazing I'll be purchasing the larger size. This is definitely a sample box. If used religiously I dont think it would last a month. But definitely a great sampler gift box for those wanting to test products or introduce to friends.,5.0
R0101,False,Good gift. Good gift for health & environment lovers,4.0
R0102,True,Nice gift!. Nice gift.,5.0
R0103,True,Great Sample. Great little accumulation of items. Good for pampering or to use as a to-go or travel set.,5.0
R0104,True,Love It. Love love love Burt’s Bees and this is a great little set!,5.0
R0105,True,Nice gift of sample sized items. This is a gift set of sample sized items. They arrived quickly and as advertised.,4.0
R0106,True,Five Stars. Baby Shower gift the mother to be loved it,5.0
R0107,True,great shower gift. gave out as a shower game gift,5.0
R0108,False,Four Stars. Great!,4.0
R0109,True,Wife loves it!. Very nice warm glow. Brightness can be adjusted with knob.,5.0
R0110,True,Burts bees is wonderful and this packages is great gift for someone. Burts bees is wonderful and this packages is great gift for someone. It comes with multiple samples large to use many times compared to other packs similar.,5.0
R0111,True,Good Product. What's not to love about Burts? Maybe the price.,4.0
R0112,True,Very small product. I like this brand of products but this package was very small trial size pieces that were only filled half way Very disappointed,1.0
R0113,True,"buy separately. the items in this kit look like they are full size but one you open the box you realize they are very tiny, almost trial sizes.",2.0
R0114,True,Five Stars. great,5.0
R0115,True,the dog liked it. LOL early xmas present to the pup. well...the dog liked it. LOL early xmas present to the pup...he got into it before Christmas. Dog is fine.,5.0
R0116,True,Gift. This was a request from our granddaughter for Christmas. She loves it.,5.0
R0117,True,"Charming!. A gorgeous little gift set, but I kept it for myself. The price was not out of the way for such a variety of Burt’s Bees products!",5.0
R0118,True,Good Value. Great stocking stuffer. Filled with many Burts Bees favorites for a good price.,5.0
R0119,True,Size Matters. I do know this says traveling size but it is super miniature for the price you pay. Great products of course.,3.0
R0120,True,Five Stars. These are all travel sized items! (with the exception on the lip balm),5.0
R0121,True,"A little smaller than expected but still loved!. I got this for my mom’s christmas stocking because she loves Burt’s Bees products (they’re great products just saying). And im not disappointed with what i got and I think my mom will enjoy it quit a lot but I was a little disappointed in size. For 11$ it seemed a little small and small in general, I should’ve looked closer at the sizes but even though they were small I’m still happy with the purchase:)",4.0
R0122,True,Moist. It's the bees knees. Moisturizers,5.0
R0123,True,Smaller than I thought. Way too small I figured they would be a lot larger tubes and cans of product. More of a stocking stuffer than a gift. Small small kit.,2.0
R0124,True,Five Stars. Excellent,5.0
R0125,True,Nice set for the $. I like everything in this set. Got it for my kid’s teachers’ Christmas presents.,5.0
R0126,True,"Great Gift. I’ve used these products for more than 10 years. They are all awesome, but I especially love their cuticle cream. I purchased this for a holiday bingo with my family. It ended up being the most popular gift along the ladies in the family. Guess I know what to bring next year!",5.0
R0127,True,Great gift. Fantastic price for a great gift. Good quality and variety of products to try and use.,5.0
R0128,True,Five Stars. wife loved this set,5.0
R0129,True,Burt. I'm really happy with all burts bee products. Highly recommend and will definitely purchase again.,5.0
R0130,True,Bought for teacher gifts.. I was disappointed in the size of this. I expected this would be very nice for teacher gifts and when I received it it was so small that I had to go out ad order other things to go with this.,3.0
R0131,True,Bought it for a Christmas gift. Bought it for a Christmas gift...my friend loved it,5.0
R0132,True,Scent is normal burts bees scent.. Moisturizing and worth the money.,5.0
R0133,True,Good set for the price. Great collection of Burt's Bees products. Gave as a gift for My mom. She loves it!,5.0
R0134,True,Great value and gift. Great value and gift! You can always count on Burt's Bees,5.0
R0135,True,"Nice. I gave this as a gift for Christmas and she liked it. It smell VERY strong so be aware. It is super cute and if you like lotion and things like that, this is for you.",4.0
R0136,True,"Great for traveling. Have this set in my car for traveling. Works great, be careful of them melting though. I keep them in my little cooler and use them at the rest stop for a refresher.",5.0
R0137,True,"Great way to try things out!. What a great way to try BB products out! The sample sizes are pretty generous, the salves will last a while. Great value. The hand cream feels nice and the lemon cuticle cream smells yummy",5.0
R0138,True,Good night huge gave them a kiss they loved him. They made great gift s,5.0
R0139,True,Easy gift for coworkers and friends. Practical easy gift Appreciated by recipient,3.0
R0140,True,"Alright gift. Box was smashed and the products are super small, but it did fine as a stocking stuffer.",3.0
R0141,True,👍🏻. Love it,4.0
R0142,True,Great gift. Perfect addition to the Christmas survival basket I made for a friend. Didn’t star ⭐️ individual product cause I have used this brand for a long time. She’s gonna love it!,5.0
R0143,True,"loved this kit. Everything burts bees is awesome. I loved getting this kit. Will be buying more as gifts, and full size items as well.",5.0
R0144,True,Love em. Love em,5.0
R0145,True,Good. Good,5.0
R0146,True,"Burt's Bee Skincare Kit. Thought this was solely for foot care, but there R products for hands & lips as well. Very good little kit. Definitely giftable. Highly recommend it esp. post-pandemic. We all need some serious TLC esp. skincare.",5.0
R0147,True,Bee. I’d buy again,3.0
R0148,True,"Like applying candle wax. I've had luck with BB products before and wanted to try a few out without breaking the bank.I found this sampler quite expensive considering the amounts of the products. Every product, save the lip balm, is waxy and sits on top of the skin. My hands seem drier after applying the Almond Milk Beeswax Hand Creme.The cuticle and hand salve never soak in.",1.0
R0149,True,"Box came crushed. I'm disappointed that the box was crushed and looked like it had been that way for a long time, as this was meant to be a gift. It still looked okay, and all the products were fine, so I'm overall happy with my purchase. The test sizes look big enough to try multiple times, while the balm and tins all look normal-sized to what you'd find in the grocery line. Good value, cute gift, bad packaging.",4.0
R0150,True,Perfect Christmas Gift.. Burt's has always put out great stuff. This gift pack is all the best of all their products. I bought four of them and I am giving them as office gifts this Christmas.,5.0
R0151,True,... sold out to a larger company and were not good old Burt's Bees any more. Got this before I realized they sold out to a larger company and were not good old Burt's Bees any more.,3.0
R0152,True,"A Hit in Her Christmas Stocking. My wife is a Burt's Bees fan. I usually get her a couple of lip balms for her stocking. But , this year, I upped the ante with this nice little kit. She was very happy with it. (And I scored a couple of bonus points for not getting just the same-old same-old.)",4.0
R0153,True,"Five Stars. Good price, quick delivery.",5.0
R0154,True,Do not care for scent myself. Cute gift for white elephant,3.0
R0155,True,Burts Bees body care. This is a great gift!,5.0
R0156,True,Great gift or for self treating.. What a great deal. Love trying all the products. Love the natural ingredients and the good smells.,5.0
R0157,True,Five Stars. Love the cuticle balm! My nails have gotten so strong and healthy! It's amazing!,5.0
R0158,True,"Good sampler. I love the cuticle cream, it's the whole reason that I bought this. The foot cream and the hand cream smell awesome! I'm not a super fan of their lip stuff because it's pretty waxy, and the hand salve and teeny jar of hand stuff are ok, but not realistic for me. I prefer lotion that you don't have to dig out with your fingernails.",4.0
R0159,True,Pamper your feet :). Awesome kit for my feet. They deserve to be pampered too :),5.0
R0160,True,Gave as a gift. Gave these as gifts and the recipients loved them!,5.0
R0161,True,She absolutely loves this gift.. I bought this as a gift. She just loves the items and was very excited and pleased with the packaging and the contents.,5.0
R0162,True,Perfect Set. Loved this set! All the best products.,5.0
R0163,True,"Cute Present. This will make a cute little ""extra"" Christmas present to include with a larger gift. Really cute set!",5.0
R0164,True,Great travel sized tubes and jars for winter moisutizers. I already knew I loved each of these products but I bought this trial sized pack to gain individual travel sized tubes and jars. Perfect sizes! Great products for hands and feet to stay moisturized in the winter!,5.0
R0165,True,"Great starter kit. I love this stuff. I give it away for small gifts, stocking stuffers, etc. I personally use it too. Never heard a complaint about it other than I need more!",5.0
R0166,True,Five Stars. LOVE THESE LITTLE GIFT SETS . BURTS BEES QUALITY IS EXCELLENT. MAKES NICE GIFTS FOR SMALL OCCASIONS.,5.0
R0167,True,One Star. I don't like ti,1.0
R0168,True,Pleasant send clean and high-quality. I am a huge Berts bees fan and this was really nice to try especially considering the other products in it and I got to try out for the first time most surprisingly the hand lotion was my favorite and I am definitely going to be purchasing it again,5.0
R0169,True,"My mother loved it, a bit small but still an awesome. My mother loved it,a bit small but still an awesome product",5.0
R0170,True,Lotion is sticky. 2 lotions are sticky feeling on your hands,1.0
R0171,True,It was a gift. It was a gift to send,5.0
R0172,True,"Very happy overall. Loved these products! I wish I could buy the lemon butter in this size as it's perfect for my pocket and purse. The almond milk hand cream smells delicious (this is a favorite scent of mine) but isn't the best hand cream I've tried. The pomegranate lip balm is amazing- smells great, feels great. The hand salve smells awful but does leave your hands soft and the smell doesn't linger. The coconut foot cream also smells good and works well. The lotion is so-so. Not fantastic. Not awful. Probably not worth the full-size money.",5.0
R0173,True,Exactly Like the Pictures. Great for a gift!,5.0
R0174,True,Five Stars. PERFECT!,5.0
R0175,True,gifted. Gifted and was well received,5.0
R0176,True,perfect gift idea!. Gift for a friend and she loved it. I almost bought one for myself because I am a big fan of the Burt's Bees lip balm and will probably try their other products out as well,5.0
R0177,True,Five Stars. Super handy as prizes for my baby shower games,5.0
R0178,True,Five Stars. My sister in law loved it!,5.0
R0179,True,Five Stars. Burton's bees products are the best.,5.0
R0180,True,Great gift. Quality skin care at reasonable price.,5.0
R0181,True,bad scent. the scent of this products very bad i don't know why,2.0
R0182,True,Five Stars. Got it as a gift. She loves Burt's Bees product. It was a hit.,5.0
R0183,True,Five Stars. Great quality,5.0
R0184,True,Nice. Ah Burts Bees. I only have nice things to say about this company. I like their products. The packaging was okay. Not super tiny like some other one's i've received. I think it'll make a great stocking stuffer.,5.0
R0185,True,Great. I love this package. Everything’s so far so good,5.0
R0186,True,Five Stars. I love this kit! Perfect variety.,5.0
R0187,True,I didn’t really care for the flavors once I smelled .... I didn’t really care for the flavors once I smelled them. The only items my husband and I cared for were the coconut foot cream and the lip balm.,1.0
R0188,True,"Great product, but flimsy packaging/ easily damaged in shipping. Excellent quality product, but the packaging was very badly crunched. It was a gift and I didn't want to give them the smashed package so I had to rewrap them. The quality of the product was great and everything smelled lovely.",4.0
R0189,True,A+. Worth the value! 11yo Daughter loved the gift! A+,5.0
R0190,True,"I am amazed by the quality of the products in this box. Wow. I am amazed by the quality of the products in this box, all of them have delicious different aromas and after trying them all I can definitely recommend this. I love keeping my hands well hydrated and it is hard to find the right lotion, a lot of times they're too oily and they leave my hands greasy or too runny and I don't feel the hydration, but with this kit, I got all of the options, perfect choices and all of them are just very very good quality. Absolutely recommended :) even though the creams are a small travel size, they are worth for that price.",5.0
R0191,True,I like it. I will buy again,4.0
R0192,True,Five Stars. Friend who I bought it for loved it!,5.0
R0193,True,Five Stars. Friend who I bought it for loved it!,5.0
R0194,True,Three Stars. This kit is very tiny. I thought it would be a bit bigger for the price.,3.0
R0195,True,Great for aging skin. My 81 year old grandma with very sensitive skin loves this stuff,5.0
R0196,True,Amazing- Great Gift or For Yourself!. I've brought many of theses sets as gifts as well as a set to pamper myself. This kit is GREAT. Prefect way to try out several burts bees for an amazing price. The products all seem amazing. They all work like a dream and for the price you cannot pass it up. Plus side is the wonderful sizes they come in making it easy for traveling. For those with cracked/dryed hands or feet don't pass this up it will help make them lovely again!,5.0
R0197,True,Got these as gifts for family. Great.. Got these as gifts for family. Great,5.0
R0198,True,Great!. This was a teacher gift for Christmas this year! It was a big hit. Everyone loves Burt’s Bees!,5.0
R0199,True,Good for sampling lotions and hand creams. Very small sizes. But it helped me find a couple different projects that I really like for my very dry skin.,4.0
R0200,False,"No gift note was attached that I signed up for.. Good small gift. Arrived quickly. Item as described. Unfortunately it arrived without the gift tag containing the gift note, so it did not make the impression I had intended.",3.0
R0201,True,good. all good,5.0
R0202,True,"Over the past year, forget to comment. Very good products. Every product is useful to me. The effect is also very good",5.0
R0203,True,Great for travel. Small trial sizes. Great for travel.,5.0
R0204,True,"good quality. very good quality, like it!",5.0
R0205,True,"Burt's Bees must be sweet!. Love it, so nice and soothing and smells and tastes great! That's the problem, the grandbabies keep sneaking them out of my bag and eating them (the chapstick)!",5.0
R0206,True,Not worth it!. Just didn't do it for my skin personally I love their lip products but this was a total waste :/,1.0
R0207,True,"Senior Care. Gift was given to my sister in a nursing home. Live far away and didn’t see the item, but her caretaker said it was nice and she that liked it!",5.0
R0208,True,Awesome set!. I really liked being able to try some of the Burt's Bees products and these are some of my favorites now! It is also a great gift set for others! I bought four of them; one for me and three for others:),5.0
R0209,True,Can't go wrong here. Nice assortment of products in a gift box. Whats not to love about Burts bees?,5.0
R0210,True,Gift. Gift,5.0
R0211,True,"Amazing Set for $10. This was a good gift! It is a lot of product for this price, especially since it has four different types of products too and different scents. All of the lotions work amazingly and are higher quality than other lotions.",5.0
R0212,True,"it's small but it's still good for the price. Yes, it's small but it's still good for the price. The box is like the size of my hand.",5.0
R0213,True,"Great price for the perfect present!. Mother's day present she loved it and bought bigger versions of the items later... GREAT price, compare it and you won't find better!",5.0
R0214,True,"Burt's Bees Tips and Toes Kit, Holiday Gift Set .... Burt's Bees Tips and Toes Kit, Holiday Gift Set... Burt's Bees",5.0
R0215,True,"Exactly as advertised. This was a gift for someone, but was great when I gave it.",5.0
R0216,True,The best. Dont get any better than this. Great gift. Stocking stuffer,5.0
R0217,True,"They were all happy. I don't know about my mom or mother-in-law. I bought three of these as small gifts for my mom, my wife, and her mom for Mothers Day. They were all happy. I don't know about my mom or mother-in-law, but my wife enjoys using the creams in this kit here and there. If she's happy, I'm happy.",5.0
R0218,True,This sampler package is a great value for all the stuff you get. This sampler package is a great value for all the stuff you get. I love everything in it. The compact size products are great to slip in your purse or leave in the car console so you can moisturize on the go. I have really dry skin and Burt's Bees stuff is the best for keeping my hands and feet nice in the dry air here.,5.0
R0219,False,"Burt's Bees Tip N Toes Hands & Feet Kit. I recently purchased a product to assist with a pedicure. These products seemed to go with it. I found the various products help to keep s feet feeling better, more moisturized. I think it is rather expensive to buy in this kit so next time I will look for th4 individual bottle. My feet did feel.much better after using Burt's Bees products..",4.0
R0220,True,Great gift. Purchased for a gift! Absolutely loved these,5.0
R0221,False,Good value. This is a great assortment of products for a very good price. I would easily buy this again.,5.0
R0222,False,They were enjoyed!. Bought as a gift. They were enjoyed!,5.0
R0223,True,Five Stars. Very good,5.0
R0224,True,Travel size packs large size benefits. This time around I send most of the travel size packs as gifts. I have used in the past and each item gives you an example of how well each item works.,5.0
R0225,True,Love Burt's Bees!!. Great size for travel. Loved every item. Great scents and moisturization. Great way to try items without buying full size too.,5.0
R0226,True,Came on time. Affordable price,5.0
R0227,True,Used!!!. Product arrived used!!! Completely unsanitary. Tins of cream/etc had clearly been “sampled” by someone else’s fingers.,1.0
R0228,True,Five Stars. Very good product and seller is good,5.0
R0229,True,GIFTABLE TIN?? NOT. I bought these as gifts because it said GIFTABLE TIN....which was NOT THERE....I bought 2 as gifts and neither had the tin so this is FALSE ADVERTISING.....if just one....i would mark it as a mistake....but 2???? I THINK NOT !!! BUYER BEWARE !!! NOW WAITING ON 3RD ONE TO SEE IF IT HAS THE TIN !!! ADDING TO THIS.....3RD DIDIN'T HAVE THE TIN EITHER !!!! THESE PEOPLE NEED TO BE THROWN OFF AMAZON FOR FALSE ADVERTISING !!!!!!!!! DON'T BUY,1.0
R0230,True,Expensive for quantity. Small sized creams and tubes of moisturizer. Probably should have focused on specific type of moisturizer and purchased larger size for best value. Quality great though.,3.0
R0231,True,"Missing item. Missing one of the items from the package. Disappointed as it was a Christmas gift, now can’t give it.",3.0
R0232,True,Great. Great product!,5.0
R0233,True,Five Stars. As advertised. Thanks.,5.0
R0234,True,Five Stars. good!,5.0
R0235,False,good. I received it at a reasonable price. Thank you.,5.0
R0236,True,"Burt's Bee set. I love Burt's bee, but this set had very minimal product.",3.0
