review_id,ATT,BI,rating,review_length,helpful_vote,review_year,verified_purchase,user_id
R0617,1.6,3.0,5.0,88,0,2018,1,AG4R5K5SXLO4L4RZ2PZMEK3QWR4Q
R0620,1.7,1.0,5.0,59,0,2021,1,AG7E4C7J6ZYYV6H5O5DQ3EY3Q3WA
R0623,2.1,2.0,5.0,82,0,2020,1,AGX6ZIQCQ7ZESZV3JVK6LN5NOD7Q
R0632,4.6,3.0,5.0,572,2,2017,1,AFRUSTVJYTOY4ZXXQJHN25W62ZTA
R0643,3.3,2.0,5.0,655,0,2016,0,AEM2X7DNCBH4SCVH4ZFTSCRUEVCA
R0648,2.0,3.0,5.0,77,0,2021,1,AHQN5WNJY4KKAMZLZNEVK4ZQEH4A
R0649,1.7,3.0,5.0,161,0,2021,1,AG54Z6C6MLCE2DVIBWNO7TQA5LWQ
R0657,2.4,1.0,4.0,256,1,2016,1,AGI2P3LWRO2OUX6WTZFJZIJS3XIQ
R0660,0.8,1.0,5.0,33,0,2017,1,AGWSHBES37RDODV2P77GJWSGQKPQ
R0665,2.3,2.0,5.0,141,0,2016,1,AGIPZ2VD6C4WGJ3IK5H3EEOM7MCA
R0667,0.9,1.0,5.0,32,0,2018,1,AF3RDZAGEJAZCQZ7HI4UHFYV2TOA
R0676,1.7,3.0,5.0,80,0,2020,1,AF4T4X6IY7RAU5KHQ45MBKZOTV7A
R0678,1.7,1.0,5.0,59,0,2018,1,AHDVI53HRIOGZFNKSCXSRZPTKFQA
R0679,1.6,1.0,5.0,110,0,2019,1,AHXGEQJDZZ2CCK4TURURD746I3PA
R0686,2.5,1.0,5.0,245,0,2018,0,AFDK2OE65BMRZEC6EAY5TOLRMIAA
R0687,-2.0,0.0,3.0,104,0,2020,0,AF2IPJWRQQS27DMOGC2OHEU6XHNQ
R0695,0.8,1.0,5.0,62,0,2017,0,AFW4SPQBWFQZOSWURBL6J5NFNLBA
R0697,2.5,3.0,5.0,313,0,2016,1,AGMZX4WQZY7NQ6GLHCCTCAYG5RHQ
R0699,2.3,1.0,5.0,313,0,2021,1,AGJ3MS5XY3DNA5Z6DS74PDBY3ULA
R0700,1.6,2.0,5.0,120,1,2020,1,AGDKJQICMWUPENKJWC6GFHJ6QY6A
R0703,1.5,2.0,5.0,171,0,2019,1,AFU2D3QBP5CLKZ6AJ6NV5MZWDZRA
R0704,1.0,2.0,4.0,897,4,2020,1,AEDVTV6IZZPM2FQ2COKYU5NMKMWQ
R0707,1.3,3.0,5.0,106,0,2016,1,AH3MGJVZ7BU73VZSI7OLOBW6KOVA
R0712,1.8,3.0,5.0,157,0,2018,1,AER2NU5GMBP2W2ZMBVIEUW7UJVLA
R0714,0.8,2.0,5.0,109,0,2018,1,AFBXTPOJSQBMY5KCSSSAYBQ6EXAA
R0717,0.7,2.0,5.0,151,0,2017,1,AEYTZVY7YPXA5DBAPEQOKQUP2KPQ
R0719,-1.7,0.0,1.0,209,2,2023,1,AEGZVRWELHYZLO4HBKIASYCO7SBQ
R0724,1.9,3.0,5.0,62,0,2016,1,AFQXZSZ6SSIUZDCC5EDKUGN3TP2A
R0735,0.8,3.0,5.0,53,0,2022,1,AGC2QWS6N56FDMDKNPL5S7NJDB4A
R0737,0.9,1.0,5.0,303,0,2021,1,AHSLMEJLAPA7Y5XTKDUML3RFAGHA
R0743,2.5,1.0,4.0,174,0,2022,1,AEW6DDNJHAP2EY23SVJCAGD22VJQ
R0746,0.9,1.0,5.0,62,1,2021,1,AG4EAMZL6AJJBUG245OPFPC7DZ3Q
R0753,2.2,1.0,5.0,241,0,2020,1,AGXXAXNEEUYFC3WK5CD7Z6U4PB3A
R0756,0.8,1.0,4.0,43,0,2016,1,AGEW7GIIOCXAM2BA3VUEK6BDYITQ
R0760,0.4,1.0,4.0,109,0,2016,1,AEYTSNYVLPXFJPQXC7H5L7VFL2CQ
R0766,1.6,1.0,5.0,105,0,2015,1,AFRIYF6V3OXJYCAZ3FYX43EYS6FA
R0776,1.8,3.0,5.0,134,0,2020,1,AHUJHH22QFXDLPRAUK352AKVKGIQ
R0781,0.1,3.0,5.0,97,0,2021,1,AFHVQ54523CX6UGAKO7XHVDDP36Q
R0782,-1.2,0.0,1.0,194,3,2018,1,AEYYKB2UX6MXDBNBWYEBG7UAQD5A
R0787,2.6,3.0,5.0,483,0,2015,1,AFHJ6NZCANBA7KH2AL3AG67SVKGA
R0794,2.4,2.0,5.0,410,0,2018,1,AG46CGAX2U7BDDH4HNQ4HJFL7ZGA
R0797,-0.2,0.0,5.0,93,0,2021,1,AHFFEMZGKURPWJDF6WCFMC2HVK7A
R0800,0.4,3.0,5.0,61,0,2016,1,AGK5HYMWOJPARZ52EWTLEEISDR3Q
R0806,1.8,3.0,5.0,105,0,2020,1,AELRUUJ3HJW4FJETAVYFIXEUF2IA
R0809,0.8,3.0,5.0,77,0,2016,1,AEE2WHJ36KCMPG4RUSHIOAKNPLPQ
R0811,0.9,1.0,5.0,69,0,2018,1,AFR4ZJYQVTNCZ5BTU5ETQ57O64JA
R0814,1.4,1.0,5.0,539,0,2018,1,AGQJQUJ6M655QQIKOTA7T2HHEH7Q
R0816,0.9,3.0,5.0,431,1,2018,1,AFZZOPDLUTQWC5WROWBALOTHGDVA
R0823,1.8,3.0,5.0,60,0,2021,1,AEPJFTYDV2DFVTVJ2IE7ALYTM7DQ
R0824,-0.7,0.0,2.0,230,0,2016,1,AFXE75TSEXJTDV2E6E26HB2D46SA
R0828,-1.8,0.0,3.0,520,6,2020,1,AH44ABN3OWNJIXTR5B7S5NJ6WZAA
R0838,-2.2,0.0,2.0,284,1,2022,1,AGHGT6MH6JN7KCLCNGDDBIH64Q6Q
R0840,1.9,3.0,5.0,125,0,2021,1,AG5GN6QPQMXPXAVC6VC5W6UJU7MA
R0850,0.9,1.0,5.0,122,1,2020,1,AEDSLVWBEQ7GDGGISVMVMM3ISBKQ
R0851,0.9,3.0,5.0,50,1,2020,1,AHE4HQOD5MEFN6EOORBWXJ27R53Q
R0855,1.6,1.0,5.0,113,0,2023,1,AGRWD2KNTLDHOLFUKZMNDJ6ODE5Q
R0863,2.5,1.0,5.0,129,19,2015,1,AHAXEQUHY7W4JYASO63UI4ADAPWQ
R0872,-1.6,0.0,1.0,77,0,2018,1,AGUXKX2S2U7K4JJ7CLFFCUTFAMFA
R0882,1.3,3.0,5.0,451,0,2021,1,AEN7S54AJAI4CD5ALHL7OJTAIAQA
R0885,1.0,3.0,5.0,30,0,2020,1,AHZRSSDXLSMA27IEMZATPSAY5TCA
R0891,0.7,1.0,5.0,22,0,2018,1,AE3YB7YQKUIDDOC52J2DKCKFWVUA
R0897,2.8,3.0,5.0,218,0,2022,1,AGBMHEPI3FE5ZWRK6WM7T6GAHIWQ
R0898,-2.3,0.0,1.0,199,3,2021,1,AHHC5WERXHVJWFOXUMXPPUEIBM7A
R0899,1.4,3.0,5.0,493,0,2021,1,AHQWGZIONGW4JXGT4WS5NOZG6UBA
R0901,-1.7,0.0,2.0,182,0,2016,1,AF5ILI5K3KGHYYRUAWT4FFSNXHRA
R0907,2.4,1.0,5.0,145,0,2021,1,AFIUVWOES3XCGHCDS4VT7PRCHNFQ
R0909,1.7,1.0,4.0,696,16,2018,1,AGWUQQUCUYWSG7WLH34P7XKGIDCQ
R0910,1.6,3.0,5.0,1000,0,2016,0,AELTK6H6BWSHVHRTJ45YFMWMN4FA
R0913,0.8,1.0,5.0,31,0,2020,1,AGW36KMMKXWFJJAUW5YY2TI6TS3A
R0914,-2.3,0.0,1.0,143,0,2022,1,AGHLIQEDBKQQJUVE7RCB5TBVUY2Q
R0920,2.7,1.0,5.0,183,0,2021,1,AEQPYC2BVIDH5DKDQ6OVT4QO4WTA
R0927,4.1,2.0,5.0,1127,4,2015,1,AEZUKNW37V6RRGGCZKEUPDZQWR7A
R0929,-0.9,0.0,2.0,65,0,2018,1,AG4DS6TOOYRQINIP7X37HG5WWVXA
R0936,1.8,3.0,5.0,189,0,2021,1,AHHZ7P7GRANMD6USWP5VG55CSMYA
R0943,1.6,3.0,5.0,57,0,2022,1,AG7VLRKSW2XDJCFHVP6YBHQY6BKA
R0954,1.7,1.0,5.0,125,0,2019,1,AFWF4OKGFJDQZLGY44VXHEEUZENQ
R0957,1.0,3.0,5.0,316,0,2020,1,AFT6CX5CZ6ET5O4JLTPJPP4WHEIA
R0958,2.6,1.0,5.0,194,0,2017,0,AFVKL2S7JSTLFDWKHV5CNE5ABUDA
R0962,2.8,3.0,5.0,194,0,2020,1,AGOX6FT4J3D5AHZCKAB2M2QPUJ2A
R0965,2.4,3.0,4.0,349,0,2021,1,AHOWBSK55HWOWTSJIS7BXPJ37MLQ
R0970,2.6,1.0,5.0,117,0,2015,1,AESZOEBTHM4GY2B2JSK6Y3ZC7NLQ
R0971,2.5,1.0,4.0,104,0,2015,1,AEL6BBHSHKNKDYHKC3LVXZF4IM2Q
R0972,1.8,3.0,4.0,162,0,2019,1,AGEU5DKGGUO7LSJCTYXYJKX5NRIA
R0976,2.2,1.0,5.0,309,2,2022,1,AF23XXEZSEG3VEO2HHYP4JDSJSOA
R0978,0.8,3.0,5.0,451,0,2018,1,AHWVPWDZTVKL4BEG6PVX7VYIBF7Q
R0980,2.2,2.0,5.0,936,0,2017,0,AFFOEG65NHSTLJGKNL6KYWMJSLLA
R0981,0.8,1.0,5.0,56,0,2015,1,AFDK2WXYVDT7X7JQ6DESILBDPXPQ
R0985,0.7,1.0,5.0,72,0,2015,1,AGVM7U56HC4ZTU4XFNEXNXSSBZ3Q
R0988,-1.6,0.0,1.0,45,0,2017,1,AG5TOD5FQS5ITNBFQ5TJOZFBAH4A
R0989,1.5,1.0,4.0,183,0,2018,1,AHVD2GYT64AOMFSIMS6LZHJHON6Q
R0995,2.4,3.0,5.0,435,1,2016,1,AF57TZPRU5GUSJSEW5PRAXUZP55Q
R0996,0.8,1.0,5.0,38,0,2019,1,AFWHFATNCEMNSR3LZXDMZTHALUQQ
R0998,1.0,1.0,4.0,50,0,2022,1,AGZAGYXSYWWOPOQ2TKECXM7NY67Q
R1001,2.5,1.0,5.0,191,0,2020,1,AH7XSLR2NQK73CKPXGABZ6CJ6PIQ
R1004,2.5,3.0,5.0,102,0,2020,1,AF2NX76RSTCLPQUQGHZLX2XTMMFQ
R1013,1.6,3.0,5.0,328,0,2022,0,AESRNUDMMK6KADNQCF4KND6HEUPA
R1016,2.7,3.0,5.0,155,0,2015,1,AHWZLQAEUE3G45EISJECE7ZHEUCQ
R1026,1.9,1.0,5.0,97,1,2020,1,AE5LZ254HJPN7FMPXBOPZEF5CA4Q
R1029,2.7,3.0,5.0,362,0,2021,0,AE7CXPACKPDELFWM5ADZEVIYOANA
R1041,1.7,3.0,5.0,120,0,2019,1,AEHVMRCDU74NRJMWG2XMJGCKZ3IA
R1046,2.6,2.0,4.0,253,0,2016,0,AEEJJWW26Y4EXGS6E6J2MIC7ZWWA
R1048,4.0,3.0,5.0,760,3,2023,1,AEPS6F5NZ6PITJVSSG7VEWXGB5PA
R1056,1.2,1.0,5.0,186,1,2017,1,AFMNFDLQ5ZYLV5MWYUWDRHBA42ZA
R1057,1.9,1.0,5.0,127,0,2015,0,AEQT5AS6HDCIV4WLJGAS4O22XJ2Q
R1061,-0.8,0.0,1.0,68,0,2020,1,AE7XHUJWS3GZ5VCUBVRNDFFTDZIA
R1064,0.9,3.0,5.0,47,0,2020,0,AHW56E3C653XZNPAR2BQVTPMH6SA
R1068,1.5,1.0,5.0,128,0,2020,1,AH5D7YKSHN6S5G5JQV3TMCLBNNDQ
R1069,2.8,1.0,5.0,143,1,2020,1,AEYXWZZ6SP7I7UET3EOROV4UW5JQ
R1080,2.5,1.0,5.0,165,0,2022,1,AFTM6JNBKPQQJJAZPL4VLEIFRLPQ
R1083,2.4,1.0,5.0,250,0,2019,1,AHVQT4FPXDLHJUKWXEYKQVH5YK6Q
R1084,2.6,1.0,5.0,298,0,2021,1,AE2ZZRHTS7IUKNJJSNEQZEYIQVYA
R1091,0.9,3.0,5.0,46,0,2021,1,AFKECCP3NMF74UPZYX3RM6VXIQGA
R1098,-1.8,0.0,1.0,118,0,2022,1,AEHYY5GLIUOGN6JOLXJX73EGRHFA
R1100,1.6,3.0,5.0,197,0,2014,1,AEFCX2RRLZ5KCMUTVBTMG3IYAWZA
R1103,3.3,1.0,5.0,199,0,2014,1,AE6JHPVN6WP3H2WVOSWZ3HYN7NXQ
R1104,3.6,3.0,5.0,294,0,2013,1,AHX2LSNFPNHLHQJUTCSKHLCSQRYA
R1106,1.6,2.0,5.0,154,0,2014,1,AERCGGCWQBOON54IAFZMAJEQSXKA
R1115,-3.3,0.0,1.0,535,2,2013,0,AHIBP6EKFRM4TGGOQY75NAMYNVDA
R1120,1.7,1.0,5.0,139,0,2014,1,AHCZY3GH2MSEGKQFLTBT334CD6QQ
R1121,2.6,2.0,5.0,137,0,2013,1,AHM6AYWXGS2NTF2U6JHGOSADDHKQ
R1123,2.6,2.0,4.0,229,0,2013,1,AFP5FXNNXIJKIZFU64U4L232KQSQ
R1124,1.7,2.0,5.0,180,0,2013,1,AFODVYCXBV2RPLUS6TQPXALDZNYQ
R1125,0.0,2.0,3.0,541,3,2014,1,AHWGACA65MI7W47IBBZFQH4D527A
R1136,-2.7,0.0,2.0,1366,2,2014,0,AGG6RI2IZQBOLW2M3GZ23TRFWE7A
R1140,2.5,1.0,5.0,139,0,2014,1,AGP3HHI4BLBDFBWRFCLBXF4TV3EQ
